PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
15Fila;0.7;18;19;95%;36;43;84%
15Fila;0.7;17;19;89%;29;43;67%
15Fila;0.7;19;19;100%;33;43;77%
15Fila;0.8;19;19;100%;30;43;70%
15Fila;0.8;19;19;100%;33;43;77%
15Fila;0.8;18;19;95%;27;43;63%
15Fila;0.9;19;19;100%;33;43;77%
15Fila;0.9;16;19;84%;28;43;65%
15Fila;1.0;17;19;89%;25;43;58%
15Fila;1.0;16;19;84%;29;43;67%
15Fila;0.6;19;19;100%;36;43;84%
15Fila;0.6;19;19;100%;34;43;79%
15Fila;0.6;17;19;89%;29;43;67%
15Fila;0.5;19;19;100%;29;43;67%
15Fila;0.5;17;19;89%;25;43;58%
15Fila;0.3;17;19;89%;30;43;70%
15Fila;0.3;17;19;89%;26;43;60%
15Fila;0.2;17;19;89%;27;43;63%
15Fila;0.0;0;19;0%;0;43;0%
